food_name,disease_name,relation_type
燕麦,糖尿病,RECOMMENDED
藜麦,糖尿病,RECOMMENDED
红豆,糖尿病,RECOMMENDED
苹果,糖尿病,RECOMMENDED
樱桃,糖尿病,RECOMMENDED
柚子,糖尿病,RECOMMENDED
纯牛奶,糖尿病,RECOMMENDED
无糖酸奶,糖尿病,RECOMMENDED
核桃,糖尿病,RECOMMENDED
杏仁,糖尿病,RECOMMENDED
全谷物,糖尿病,RECOMMENDED
杂豆,糖尿病,RECOMMENDED
绿叶蔬菜,糖尿病,RECOMMENDED
糙米,糖尿病,RECOMMENDED
荞麦面,糖尿病,RECOMMENDED
意大利面,糖尿病,RECOMMENDED
全麦面,糖尿病,RECOMMENDED
魔芋,糖尿病,RECOMMENDED
魔芋丝,糖尿病,RECOMMENDED
魔芋结,糖尿病,RECOMMENDED
魔芋豆腐,糖尿病,RECOMMENDED
豆制品,糖尿病,RECOMMENDED
豆腐,糖尿病,RECOMMENDED
豆浆,糖尿病,RECOMMENDED
豆干,糖尿病,RECOMMENDED
蒸红薯,糖尿病,RECOMMENDED
山药,糖尿病,RECOMMENDED
芋头,糖尿病,RECOMMENDED
菌菇类,糖尿病,RECOMMENDED
香菇,糖尿病,RECOMMENDED
木耳,糖尿病,RECOMMENDED
金针菇,糖尿病,RECOMMENDED
杏鲍菇,糖尿病,RECOMMENDED
海带,糖尿病,RECOMMENDED
紫菜,糖尿病,RECOMMENDED
裙带菜,糖尿病,RECOMMENDED
奇亚籽,糖尿病,RECOMMENDED
亚麻籽,糖尿病,RECOMMENDED
芝麻,糖尿病,RECOMMENDED
牛油果,糖尿病,RECOMMENDED
橄榄,糖尿病,RECOMMENDED
鱼虾贝类,糖尿病,RECOMMENDED
海虾,糖尿病,RECOMMENDED
草鱼,糖尿病,RECOMMENDED
竹笋,糖尿病,RECOMMENDED
芦笋,糖尿病,RECOMMENDED
茭白,糖尿病,RECOMMENDED
青香蕉,糖尿病,RECOMMENDED
嫩南瓜,糖尿病,RECOMMENDED
传统燕麦,糖尿病,RECOMMENDED
苦荞麦,糖尿病,RECOMMENDED
白米饭,糖尿病,AVOID
白面条,糖尿病,AVOID
白面包,糖尿病,AVOID
馒头,糖尿病,AVOID
糕点,糖尿病,AVOID
含糖饮料,糖尿病,AVOID
糯米,糖尿病,AVOID
粽子,糖尿病,AVOID
汤圆,糖尿病,AVOID
年糕,糖尿病,AVOID
糯米饭,糖尿病,AVOID
即食麦片,糖尿病,AVOID
速食粥,糖尿病,AVOID
营养糊,糖尿病,AVOID
白粥,糖尿病,AVOID
烂粥,糖尿病,AVOID
老南瓜,糖尿病,AVOID
熟透香蕉,糖尿病,AVOID
糯玉米,糖尿病,AVOID
水果干,糖尿病,AVOID
葡萄干,糖尿病,AVOID
红枣干,糖尿病,AVOID
蜂蜜,糖尿病,AVOID
枫糖浆,糖尿病,AVOID
麦芽糖,糖尿病,AVOID
油条,糖尿病,AVOID
油饼,糖尿病,AVOID
花卷,糖尿病,AVOID
烙饼,糖尿病,AVOID
伪全麦面包,糖尿病,AVOID
伪杂粮馒头,糖尿病,AVOID
无糖饼干,糖尿病,AVOID
无糖蛋糕,糖尿病,AVOID
果汁,糖尿病,AVOID
可乐,糖尿病,AVOID
奶茶,糖尿病,AVOID
甜馒头,糖尿病,AVOID
奶油面包,糖尿病,AVOID
炸薯条,糖尿病,AVOID
糖醋里脊,糖尿病,AVOID
勾芡菜肴,糖尿病,AVOID
全谷物,脂肪肝,RECOMMENDED
杂豆,脂肪肝,RECOMMENDED
绿叶蔬菜,脂肪肝,RECOMMENDED
豆制品,脂肪肝,RECOMMENDED
燕麦,痛风,RECOMMENDED
粗粮杂豆,痛风,RECOMMENDED
含糖饮料,痛风,AVOID
甜点,痛风,AVOID
全谷物,PCOS,RECOMMENDED
杂豆,PCOS,RECOMMENDED
精制糖,PCOS,AVOID
精制碳水,PCOS,AVOID
低GI食物,心血管疾病,RECOMMENDED
高GI食物,心血管疾病,AVOID
鱼虾贝类,心血管疾病,RECOMMENDED
坚果,心血管疾病,RECOMMENDED
