food_name,category,sugar_g,protein_g,carbs_g,fiber_g,GI
小麦,主食,0.4,11.9,75.2,10.8,41
挂面,主食,0.2,11.4,75.1,0.9,57
面条,主食,0.3,8.9,65.6,0.8,41
花卷,主食,1,6.4,45.6,1.5,76
烙饼,主食,1.2,7.5,52.9,1.9,79
馒头,主食,1,7,47,1.3,82
油饼,主食,1.5,7.9,42.4,2,79
油条,主食,0.8,6.9,51,0.9,75
米饭,主食,0.3,2.6,25.9,0.2,71
玉米,主食,1.6,4,22.8,2.9,55
小米,主食,1.5,9,75.1,1.6,71
燕麦,主食,1.2,10.1,77.4,6,55
马铃薯,主食,1.2,2.6,17.8,1.1,62
藕粉,主食,0.5,0.2,93,0.1,33
豆腐,,1.9,6.6,3.4,0.3,15
豆浆,,1.1,3,1.2,0.1,15
油豆腐,,,17,14.5,2.2,46
腐竹,,2.1,44.6,22.3,1,15
千张,,,24.5,5.5,1,24
绿豆,,5.3,21.6,62,6.4,27
蚕豆,,1,21.6,61.5,1.7,16
白萝卜,蔬菜,2.6,0.7,3.6,1,15
胡萝卜,蔬菜,4.7,1,8.1,1.1,71
豆角,蔬菜,4.2,2.5,6.7,2.1,25
荷兰豆,蔬菜,,2.5,4.9,1.4,30
四季豆,蔬菜,,2,5.7,1.5,27
绿豆芽,蔬菜,,1.7,2.6,1.2,25
茄子,蔬菜,4.9,1.1,4.9,1.3,15
番茄,蔬菜,2.5,2,2.6,0.8,15
辣椒,蔬菜,,1.3,8.9,3.2,15
黄瓜,蔬菜,1.6,0.8,2.9,0.5,15
苦瓜,蔬菜,,1,4.9,1.4,24
南瓜,蔬菜,,0.7,5.3,0.8,75
大蒜,蔬菜,,4.5,27.6,1.1,30
大葱,蔬菜,,1.6,0.3,2.2,45
洋葱,蔬菜,4.2,5.5,81.9,5.7,15
韭菜,蔬菜,,2.4,4.5,1.2,26
大白菜,蔬菜,,1.6,3.4,0.9,23
菠菜,蔬菜,0.4,2.6,4.5,1.7,15
卷心菜,蔬菜,4.6,1.5,4.6,1,15
羽衣甘蓝,蔬菜,,5,5.7,3.2,15
香菜,蔬菜,,1.8,6.2,1.2,32
茼蒿,蔬菜,,1.9,3.9,1.2,25
莴笋,蔬菜,,1,2.8,0.6,15
竹笋,蔬菜,,2.6,3.6,1.8,26
藕,蔬菜,16,1.2,11.5,2.2,45
山药,蔬菜,,1.9,12.4,0.8,51
芋头,蔬菜,,1.3,12.7,1,48
姜,蔬菜,,0.7,3.7,0.9,15
蘑菇,,2.4,2.7,4.1,2.1,15
木耳,,,1.5,6,2.6,26
金针菇,,2.4,2.4,6,2.7,15
香菇,,2.4,2.2,5.2,3.3,15
杏鲍菇,,2.3,1.3,8.3,2.1,15
海带,,1.6,1.2,2.1,0.5,15
苹果,水果,10.3,0.4,13.7,1.7,36
梨,水果,12.9,0.3,13.1,2.6,36
桃,水果,12,0.6,10.1,1,28
枣,水果,27.8,1.1,30.5,1.9,42
李子,水果,8.7,0.7,8.7,0.9,24
葡萄,水果,15.5,0.4,10.3,1,43
石榴,水果,18.7,1.3,18.5,4.9,53
柿,水果,17.1,0.4,18.5,1.4,61
桑葚,水果,,1.7,13.8,4.1,25
橙,水果,12,0.8,11.1,0.6,43
橘,水果,,1,13.7,1.4,43
柠檬,水果,2,1.1,6.2,1.3,23
菠萝,水果,10.8,0.5,10.8,1.3,66
芭蕉,水果,28.9,1.2,28.9,3.1,53
荔枝,水果,16.6,0.9,16.6,0.5,72
芒果,水果,15,0.6,8.3,1.3,55
杨梅,水果,6.7,0.8,6.7,1,22
椰子,水果,31.3,4,31.3,4.7,55
榴莲,水果,28.3,2.6,28.3,1.7,56
哈密瓜,水果,5.8,0.5,7.9,0.2,70
西瓜,水果,5.8,0.5,6.8,0.2,72
火龙果,水果,13.3,1.1,13.3,1.6,50
核桃,油脂,,12.8,6.1,4.3,14
板栗,油脂,,4.2,42.2,1.7,60
松子,油脂,,12.6,19,12.4,15
杏仁,油脂,,22.5,23.9,8,25
腰果,油脂,,24,20.4,10.4,25
开心果,油脂,,20.6,21.9,8.2,15
花生,油脂,,12,13,7.7,14
葵花子,油脂,,23.9,19.1,6.1,20
莲子,油脂,,17.2,67.2,3,29
菜籽油,油脂,0,,,,0
猪肉,肉蛋,0,15.1,0,0,0
牛肉,肉蛋,0.4,20,0.5,0,0
羊肉,肉蛋,0.5,18.5,1.6,0,0
驴肉,肉蛋,0,21.5,0.4,0,0
马肉,肉蛋,0,20.1,0.1,0,0
狗肉,肉蛋,0,16.8,1.8,0,0
鸡,肉蛋,0,20.3,0.9,0,0
鸭,肉蛋,0,15.5,0.2,0,0
鹅,肉蛋,0,17.9,0,0,0
鸽,肉蛋,0,16.5,1.7,0,0
纯牛奶,油脂,4.8,3.3,4.9,0,30
奶油,油脂,,0.7,0.9,0,
炼乳,油脂,,8,55.4,0,
鸡蛋,肉蛋,1.1,13.1,2.4,0,0
鸭蛋,肉蛋,1.3,12.6,3.1,0,0
鹅蛋,肉蛋,0,11.1,2.8,0,0
鹌鹑蛋,肉蛋,0,12.8,2.1,0,0
草鱼,肉蛋,0,16.6,0,0,0
鲢鱼,肉蛋,0,17.8,0,0,0
鲇鱼,肉蛋,0,17.3,0,0,0
海虾,肉蛋,0,16.8,1.5,0,0
河虾,肉蛋,0,16.4,0,0,0
海蟹,肉蛋,0,13.8,4.7,0,0
河蟹,肉蛋,0,17.5,2.3,0,0
鲍鱼,肉蛋,0,12.6,6.6,0,0
扇贝,肉蛋,0,11.1,2.6,0,0
海参,肉蛋,0,16.5,2.5,0,0
